"","name","address","city","state","zip","Zip.Plus","Contact.First.Name","Contact.Last.Name","Contact.Title","Phone","Business.Description","Primary.NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business.Type","County","Employee","Annual.Sales","URL","Year.Established","address_new","url","type","latitude","longitude"
"11","Clay County-Historical Arts","21 Davis Loop","Hayesville","NC",28904,7377,"Barbara","Bussolari","Director",8283896814,"Museums",712110,813319,712110,712110,NA,"Private","Clay",1,NA,"clayhistoryartsnc.org",1987,"21 Davis Loop Hayesville NC 28904","https://www.clayhistoryartsnc.org","Art",35.0447278,-83.81929286
"12","Clayworks Gallery","4506 Monroe Rd","Charlotte","NC",28205,7716,"Adrine","Dellinger","Exec Director",7043440795,"Museums",712110,611610,813319,712110,813410,"Private","Mecklenburg",1,NA,"clayworksinc.org",1977,"4506 Monroe Rd Charlotte NC 28205","https://www.clayworksinc.org","Art",35.19422844,-80.78475278
"13","Community Council For the Arts","400 N Queen St","Kinston","NC",28501,4328,"Sandy","Landis","Exec Director",2525272517,"Museums",712110,459920,712110,712110,NA,"Private","Lenoir",5,NA,"kinstoncca.com",1965,"400 N Queen St Kinston NC 28501","https://www.kinstoncca.com","Art",35.26373994,-77.58117423
"14","Contemporary Art Museum","409 W Martin St","Raleigh","NC",27603,1819,"Gab","Smith","Exec Director",9192615920,"Museums",712110,813319,712110,813410,NA,"Private","Wake",10,NA,"camraleigh.org",1983,"409 W Martin St Raleigh NC 27603","https://www.camraleigh.org","Art",35.77707529,-78.6453042
"15","Crossnore Fine Arts Gallery","205 Johnson Ln","Crossnore","NC",28616,NA,"Brett","Loftis","Director",8287333144,"Museums",712110,459920,623990,541612,NA,"Private","Avery",10,NA,"crossnoregallery.org",1913,"205 Johnson Ln Crossnore NC 28616","https://www.crossnoregallery.org","Art",36.02522848,-81.9305435
"16","Crossnore Weavers & Gallery","205 Johnson Ln","Crossnore","NC",28616,NA,"Martha","Hill","Director",8287334660,"Museums",712110,712120,NA,NA,NA,"Private","Avery",3,NA,"crossnore.org",1920,"205 Johnson Ln Crossnore NC 28616","https://www.crossnore.org","Art",36.02522848,-81.9305435
"17","Dare County Arts Council","104 Sir Walter Raleigh St","Manteo","NC",27954,9419,"Fay","Edwards","Director",2524735558,"Museums",712110,NA,NA,NA,NA,"Private","Dare",2,NA,"darenc.gov",1938,"104 Sir Walter Raleigh St Manteo NC 27954","https://www.darenc.gov","Art",35.9095931,-75.66966129
"18","David Mccune Intl Art Gallery","5400 Ramsey St","Fayetteville","NC",28311,1420,"Silvana M","Foti","Exec Director",9104255379,"Museums",712110,712110,NA,NA,NA,"Private","Cumberland",6,NA,"davidmccunegallery.org",2017,"5400 Ramsey St Fayetteville NC 28311","https://www.davidmccunegallery.org","Art",35.13754011,-78.87518352
"19","Delta Arts Ctr","2611 New Walkertown Rd","Winston Salem","NC",27101,1948,"Daphne","Holmes-Johnson","Exec Director",3367222625,"Museums",712110,712110,712110,712110,NA,"Private","Forsyth",2,NA,"deltaartscenter.org",1972,"2611 New Walkertown Rd Winston Salem NC 27101","https://www.deltaartscenter.org","Art",36.1097871,-80.21406674
"20","Elizabeth Holden Gallery","701 Warren Wilson Rd","Swannanoa","NC",28778,2042,NA,NA,NA,8287713038,"Museums",712110,NA,NA,NA,NA,"Private","Buncombe",3,238000,"elizabethholdengallery.com",2020,"701 Warren Wilson Rd Swannanoa NC 28778","https://www.elizabethholdengallery.com","Art",35.61429344,-82.43942437
"21","Gaston County Msm-Art-History","131 W Main St","Dallas","NC",28034,2021,"Jason","Luker","Director",7049227681,"Museums",712110,813319,712110,813410,921120,"County","Gaston",10,NA,"gastoncountymuseum.org",1975,"131 W Main St Dallas NC 28034","https://www.gastoncountymuseum.org","Art",35.31538493,-81.17636058
"22","Gregg Museum of Art & Design","1903 Hillsborough St","Raleigh","NC",27607,7348,"Dan","Ellison","President",9195153503,"Museums",712110,459920,712110,NA,NA,"Private","Wake",6,NA,"gregg.arts.ncsu.edu",1983,"1903 Hillsborough St Raleigh NC 27607","https://www.gregg.arts.ncsu.edu","Art",35.78559954,-78.66131406
"23","Grovewood Gallery","111 Grovewood Rd # 2","Asheville","NC",28804,2859,"Harry","Patton","Owner",8282537651,"Museums",712110,449110,459920,455219,NA,"Private","Buncombe",15,NA,"grovewood.com",1965,"111 Grovewood Rd # 2 Asheville NC 28804","https://www.grovewood.com","Art",35.62308104,-82.54402943
"24","Hickory Museum of Art","243 3rd Ave NE # 3W","Hickory","NC",28601,5151,"Alan","Jackson","President",8283278576,"Museums",712110,813319,712110,813410,NA,"Private","Catawba",9,NA,"hickoryart.org",1944,"243 3rd Ave NE # 3W Hickory NC 28601","https://www.hickoryart.org","Art",35.73558388,-81.33451541
"25","Jaquelin Jenkins Gallery","516 E Main St","Elizabeth City","NC",27909,4430,"Rhonda","Twiddy","Executive VP",2523386455,"Museums",712110,459920,712110,712110,NA,"Private","Pasquotank",4,NA,"artsaoa.org",2009,"516 E Main St Elizabeth City NC 27909","https://www.artsaoa.org","Art",36.29988058,-76.22027863
"26","Louisburg College Art Gallery","501 N Main St","Louisburg","NC",27549,2399,"William","Hinton","Director",9194973238,"Museums",712110,712110,NA,NA,NA,"Private","Franklin",5,NA,"louisburg.edu",2013,"501 N Main St Louisburg NC 27549","https://www.louisburg.edu","Art",36.10354413,-78.29782281
"27","Louise Wells Cameron Art Msm","3201 S 17th St","Wilmington","NC",28412,6554,NA,NA,NA,9100001111,"Museums",712110,813319,813410,999990,NA,"Private","New Hanover",4,NA,"cameronartmuseum.org",2021,"3201 S 17th St Wilmington NC 28412","https://www.cameronartmuseum.org","Art",34.1842079,-77.91651946
"28","Mint Museum of Art","2730 Randolph Rd","Charlotte","NC",28207,2031,"Allie","Farlowe","Other",7040001111,"Museums",712110,813319,813410,999990,NA,"Private","Mecklenburg",7,NA,NA,2021,"2730 Randolph Rd Charlotte NC 28207","","Art",35.20038161,-80.8139674
"29","Nasher Museum of Art","2001 Campus Dr","Durham","NC",27705,1003,"James H","Semans","Director",9196845135,"Museums",712110,712110,NA,NA,NA,"Private","Durham",49,NA,"nasher.duke.edu",2004,"2001 Campus Dr Durham NC 27705","https://www.nasher.duke.edu","Art",35.99992351,-78.92758755
"30","North Carolina Museum of Art","2110 Blue Ridge Rd","Raleigh","NC",27607,6494,"Michael","Klauke","Administrator",9196646753,"Museums",712110,712110,NA,NA,NA,"Private","Wake",148,NA,"ncartmuseum.org",1956,"2110 Blue Ridge Rd Raleigh NC 27607","https://www.ncartmuseum.org","Art",35.81000974,-78.70553913
"31","Page Walker Arts & History Ctr","119 Ambassador St","Cary","NC",27513,NA,"Kris","Carmichael","Director",9194604963,"Museums",712110,712110,921120,NA,NA,"Municipal","Wake",9,NA,"townofcary.org",1990,"119 Ambassador St Cary NC 27513","https://www.townofcary.org","Art",35.79006222,-78.78068856
"32","Providence Gallery","601 Providence Rd # A","Charlotte","NC",28207,2074,"Deborah","Campbell","Owner",7043334535,"Museums",712110,455219,459920,712110,NA,"Private","Mecklenburg",2,NA,"providencegallery.net",1978,"601 Providence Rd # A Charlotte NC 28207","https://www.providencegallery.net","Art",35.20181699,-80.82492378
"33","Shain Gallery","2823 Selwyn Ave # K","Charlotte","NC",28209,1755,"Gaby","Shain","Owner",7043347744,"Museums",712110,459920,NA,NA,NA,"Private","Mecklenburg",3,NA,"shaingallery.com",1990,"2823 Selwyn Ave # K Charlotte NC 28209","https://www.shaingallery.com","Art",35.17452839,-80.83962641
"34","Spirit Square Ctr For Arts-Edu","345 N College St","Charlotte","NC",28202,2113,"Tom","Gabbard","President",7043721000,"Museums",712110,712110,NA,NA,NA,"Private","Mecklenburg",101,NA,"blumenthalarts.org",1997,"345 N College St Charlotte NC 28202","https://www.blumenthalarts.org","Art",35.2282209,-80.83931383
"35","Theatre Art Galleries","220 E Commerce Ave","High Point","NC",27260,5204,"Jeff","Horney","Exec Director",3368872137,"Museums",712110,459920,813319,712110,712110,"Private","Guilford",3,NA,"idrycolumbus.com",1975,"220 E Commerce Ave High Point NC 27260","https://www.idrycolumbus.com","Art",35.95571772,-80.00390824
"36","Waterworks Visual Arts Ctr","123 E Liberty St","Salisbury","NC",28144,5038,"Ann S","Clement","Exec Director",7046361882,"Museums",712110,459920,813319,712110,712110,"Private","Rowan",5,NA,"waterworks.org",1959,"123 E Liberty St Salisbury NC 28144","https://www.waterworks.org","Art",35.66884408,-80.46742042
"37","Weatherspoon Art Museum","500 Tate St","Greensboro","NC",27403,NA,"Hillary","Meredith","President",3363345770,"Museums",712110,712110,NA,NA,NA,"Private","Guilford",12,NA,"weatherspoonart.org",2008,"500 Tate St Greensboro NC 27403","https://www.weatherspoonart.org","Art",36.06644753,-79.8055824
"38","Ackland Art Museum","Campus","Chapel Hill","NC",27599,1,NA,NA,NA,9199665736,"Museums",712110,NA,NA,NA,NA,"Private","Orange",2,NA,"ackland.org",2018,"Campus Chapel Hill NC 27599","https://www.ackland.org","Art",35.960902,-79.0567971
"39","Wellington B Gray Gallery","Jenkins Fine Arts Ctr","Greenville","NC",27858,NA,"Tom","Braswell","Director",2523286336,"Museums",712110,712110,NA,NA,NA,"Private","Pitt",17,NA,"art.ecu.edu",1978,"Jenkins Fine Arts Ctr Greenville NC 27858","https://www.art.ecu.edu","Art",35.6089215,-77.36814569
"40","Blowing Rock Art & History Msm","159 Jinny Steven Ln","Blowing Rock","NC",28605,NA,"Tracy","Brown","Exec Director",8282959099,"Museums",712110,813319,712110,NA,NA,"Private","Watauga",10,NA,NA,2011,"159 Jinny Steven Ln Blowing Rock NC 28605","","Art",36.130348,-81.67933
"41","Penland Gallery & Visitors Ctr","3135 Conley Ridge Rd","Penland","NC",28765,NA,"Kathryn","Gremely","Director",8287656211,"Museums",712110,561510,459920,712110,NA,"Private","Mitchell",5,NA,"penland.org",1929,"3135 Conley Ridge Rd Penland NC 28765","https://www.penland.org","Art",35.938955,-82.114092
"42","Children's Museum & Sci Ctr","270 Gay St","Rocky Mount","NC",27804,5442,"Brooke","Edwards","Administrator",2529721266,"Museums",712110,423440,459920,711110,611610,"Private","Nash",40,NA,"imperialcentre.org",1952,"270 Gay St Rocky Mount NC 27804","https://www.imperialcentre.org","Children",35.94626345,-77.79669681
"43","Children's Museum At Old Salem","601 Old Salem Rd","Winston Salem","NC",27101,NA,NA,NA,NA,3367796150,"Museums",712110,NA,NA,NA,NA,"Private","Forsyth",2,NA,NA,2012,"601 Old Salem Rd Winston Salem NC 27101","","Children",36.08733391,-80.24357503
"44","Children's Museum-Alamance","217 S Main St","Graham","NC",27253,3301,"Jessica","Way","Manager",3362287997,"Museums",712110,813319,813410,NA,NA,"Private","Alamance",20,NA,"childrensmuseumofalamance.org",2012,"217 S Main St Graham NC 27253","https://www.childrensmuseumofalamance.org","Children",36.0674649,-79.40049701
"45","Children's Museum-Jacksonville","625 New Bridge St","Jacksonville","NC",28540,5432,NA,NA,NA,9100001111,"Museums",712110,813319,999990,NA,NA,"Private","Onslow",4,NA,"zingzumm.org",2005,"625 New Bridge St Jacksonville NC 28540","https://www.zingzumm.org","Children",34.74983759,-77.42418023
"46","Children's Museum-Wilmington","116 Orange St","Wilmington","NC",28401,4421,"Katie","Daniel","Director",9102543534,"Museums",712110,813319,999990,NA,NA,"Private","New Hanover",16,NA,"playwilmington.org",1991,"116 Orange St Wilmington NC 28401","https://www.playwilmington.org","Children",34.23279872,-77.94816049
"47","Childrey House World War II Hm","309 E Main St","Haw River","NC",27258,9649,"Buddy","Boggs","Director",3365780784,"Museums",712110,NA,NA,NA,NA,"Private","Alamance",2,NA,NA,2009,"309 E Main St Haw River NC 27258","","History",36.09148519,-79.36476619
"48","Discovery Place Kids-Hntrsvll","105 Gilead Rd","Huntersville","NC",28078,7825,"Catherine","Wilson Horne","CEO",7043272189,"Museums",712110,712190,712190,NA,NA,"Private","Mecklenburg",8,NA,"discoveryplacekids.org",1946,"105 Gilead Rd Huntersville NC 28078","https://www.discoveryplacekids.org","Children",35.41073125,-80.84357363
"49","Discovery Place Kids-Rcknghm","233 E Washington St","Rockingham","NC",28379,3641,"Catherine","Wilson-Horne","CEO",9109975266,"Museums",712110,459910,712190,624410,712110,"Private","Richmond",4,NA,"kids.discoveryplace.org",2013,"233 E Washington St Rockingham NC 28379","https://www.kids.discoveryplace.org","Children",34.93947365,-79.7731782
"50","Fascinate-U Children's Museum","116 Green St","Fayetteville","NC",28301,5024,"Susan","Daniels","Exec Director",9108299171,"Museums",712110,NA,NA,NA,NA,"Private","Cumberland",7,NA,"fascinate-u.com",1994,"116 Green St Fayetteville NC 28301","https://www.fascinate-u.com","Children",35.05289547,-78.8780769
"51","Greensboro Children's Museum","220 N Church St","Greensboro","NC",27401,2918,"Marian","King","CEO",3365742898,"Museums",712110,813319,813410,999990,NA,"Private","Guilford",14,NA,"mbcmuseum.com",1999,"220 N Church St Greensboro NC 27401","https://www.mbcmuseum.com","Children",36.07436735,-79.78661262
"52","Hands On Children Museum","318 N Main St","Hendersonville","NC",28792,407,"Joseph","Knight","Exec Director",8286978333,"Museums",712110,NA,NA,NA,NA,"Private","Henderson",14,NA,"handsonwnc.org",2017,"318 N Main St Hendersonville NC 28792","https://www.handsonwnc.org","Children",35.31606674,-82.46001054
"53","Kidsenses Children's Museum","172 N Main St","Rutherfordton","NC",28139,2502,"Willard","Whitson","Exec Director",8282862120,"Museums",712110,NA,NA,NA,NA,"Private","Rutherford",20,NA,"kidsenses.org",2004,"172 N Main St Rutherfordton NC 28139","https://www.kidsenses.org","Children",35.36773204,-81.95710576
"54","Kidzu Children's Museum","201 S Estes Dr","Chapel Hill","NC",27514,7001,"Lisa","Van Deman","Exec Director",9199331455,"Museums",712110,813319,NA,NA,NA,"Private","Orange",30,NA,"kidzuchildrensmuseum.org",2006,"201 S Estes Dr Chapel Hill NC 27514","https://www.kidzuchildrensmuseum.org","Children",35.92647759,-79.02802586
"55","Qubein Children's Museum","200 Qubein Ave","High Point","NC",27262,NA,NA,NA,NA,3368887529,"Museums",712110,NA,NA,NA,NA,"Private","Guilford",2,NA,NA,2023,"200 Qubein Ave High Point NC 27262","","Children",35.96644246,-80.01084844
"56","NASCAR Hall of Fame","400 E Martin Luther King Blvd","Charlotte","NC",28202,2343,"Winston","Kelly","Exec Director",7046544423,"Museums",712110,459420,711211,713940,813319,"Private","Mecklenburg",106,NA,"nascarhall.com",2010,"400 E Martin Luther King Blvd Charlotte NC 28202","https://www.nascarhall.com","Hall of Fame",35.22216814,-80.84336403
"57","NC Sports Hall of Fame","5 E Edenton St","Raleigh","NC",27601,1011,"Don","Fish","Exec Director",9196047136,"Museums",712110,NA,NA,NA,NA,"Private","Wake",1,NA,"ncshof.org",1962,"5 E Edenton St Raleigh NC 27601","https://www.ncshof.org","Hall of Fame",35.78126435,-78.63892296
"58","North Carolina Music Hall-Fame","600 Dale Earnhardt Blvd","Kannapolis","NC",28081,1302,"Eddie","Ray","Director",7049342320,"Museums",712110,NA,NA,NA,NA,"Private","Cabarrus",3,NA,"northcarolinamusichalloffame.org",2011,"600 Dale Earnhardt Blvd Kannapolis NC 28081","https://www.northcarolinamusichalloffame.org","Hall of Fame",35.49477846,-80.63073846
"59","African American Msm-History","300 S Firestone St # 200P","Gastonia","NC",28052,3799,"Dot","Guthrie","Owner",9808884005,"Museums",712110,813319,NA,NA,NA,"Private","Gaston",2,NA,"africanamericanmuseumgastonia.com",2019,"300 S Firestone St # 200P Gastonia NC 28052","https://www.africanamericanmuseumgastonia.com","History",35.26472778,-81.20075493
"60","Alamance County Historical Msm","4777 S Nc Highway 62","Burlington","NC",27215,9295,"William","Vincent","CEO",3362268254,"Museums",712110,722320,711310,712120,813319,"Private","Alamance",4,NA,"alamancemuseum.org",2021,"4777 S Nc Highway 62 Burlington NC 27215","https://www.alamancemuseum.org","History",36.02426004,-79.48683957
"61","Alleghany Historical Museum","45 N Main St","Sparta","NC",28675,NA,NA,NA,NA,3363722115,"Museums",712110,NA,NA,NA,NA,"Private","Alleghany",2,NA,"ahgs.org",1941,"45 N Main St Sparta NC 28675","https://www.ahgs.org","History",36.50581933,-81.12130238
"62","American Military Museum","109 W 2nd Ave","Gastonia","NC",28052,4363,NA,NA,NA,7048666068,"Museums",712110,NA,NA,NA,NA,"Private","Gaston",2,NA,NA,2017,"109 W 2nd Ave Gastonia NC 28052","","History",35.2606108,-81.18212996
"63","Anson County Historical Scty","206 E Wade St","Wadesboro","NC",28170,2229,"Betty","Horan","President",7046946694,"Museums",712110,712120,813319,813410,921120,"County","Anson",2,NA,"ansonhistoricalsociety.org",1962,"206 E Wade St Wadesboro NC 28170","https://www.ansonhistoricalsociety.org","History",34.96608953,-80.07548517
"64","Armed Forces Museum & Archives","1215 Glenshannon Rd","Matthews","NC",28105,2809,"William","Dixon","President",7048478743,"Museums",712110,NA,NA,NA,NA,"Private","Mecklenburg",30,NA,NA,2009,"1215 Glenshannon Rd Matthews NC 28105","","History",35.10505855,-80.72408515
"65","Battleship North Carolina","1 Battleship Rd","Wilmington","NC",28401,2577,"Terry","Bragg","Exec Director",9103999100,"Museums",712110,712190,813319,561599,NA,"Private","New Hanover",40,NA,"battleshipnc.com",1941,"1 Battleship Rd Wilmington NC 28401","https://www.battleshipnc.com","History",34.23490574,-77.95325651
"66","Beaufort Historical Assn","100 Block Turner St","Beaufort","NC",28516,NA,"Bill","Kaeser","President",2527285225,"Museums",712110,459420,712190,813319,NA,"Private","Carteret",15,NA,"beauforthistoricsite.org",1960,"100 Block Turner St Beaufort NC 28516","https://www.beauforthistoricsite.org","History",34.71748044,-76.66553252
"67","Bellamy Mansion","503 Market St","Wilmington","NC",28401,4634,"Garrith","Evans","Exec Director",9102513700,"Museums",712110,812990,711310,712120,712110,"Private","New Hanover",5,NA,"bellamymansion.org",1993,"503 Market St Wilmington NC 28401","https://www.bellamymansion.org","History",34.2359122,-77.943182
"68","Bennett Place State Historic","4409 Bennett Memorial Rd","Durham","NC",27705,2307,"Karen","Edwards","President",9193834345,"Museums",712110,712120,NA,NA,NA,"Private","Durham",4,NA,"bennettplacehistoricsite.com",1962,"4409 Bennett Memorial Rd Durham NC 27705","https://www.bennettplacehistoricsite.com","History",36.02946458,-78.97367881
"69","Benson Museum of Local History","102 W Main St","Benson","NC",27504,NA,"Terry","Hobgood","Director",9198943825,"Museums",712110,NA,NA,NA,NA,"Private","Johnston",2,NA,"townofbenson.com",2017,"102 W Main St Benson NC 27504","https://www.townofbenson.com","History",35.38093607,-78.54719922
"70","Bentonville Battlefield State","5466 Harper House Rd","Four Oaks","NC",27524,9125,"Donnie","Taylor","Manager",9105940789,"Museums",712110,712190,712120,813219,813319,"Private","Johnston",10,NA,"historicsites.nc.gov",1962,"5466 Harper House Rd Four Oaks NC 27524","https://www.historicsites.nc.gov","History",35.30118513,-78.3226159
"71","Burwell School Historic Site","319 N Churton St","Hillsborough","NC",27278,NA,"Rebecca","Ryan","Exec Director",9197327451,"Museums",712110,712120,813319,NA,NA,"Private","Orange",4,NA,"burwellschool.org",1965,"319 N Churton St Hillsborough NC 27278","https://www.burwellschool.org","History",36.07903574,-79.09965556
"72","C S Brown Regional Cultural","511 S Main St","Winton","NC",27986,NA,"Mary","Sessoms","Director",2522097284,"Museums",712110,712110,NA,NA,NA,"Private","Hertford",3,NA,"csbrownculturalartscenter.weebly.com",1886,"511 S Main St Winton NC 27986","https://www.csbrownculturalartscenter.weebly.com","History",36.3858828,-76.9394544
"73","Canton Area Historical Museum","36 Park St","Canton","NC",28716,4324,"Wayne","Carson","Manager",8286463412,"Museums",712110,813410,NA,NA,NA,"Private","Haywood",1,NA,"blueridgeheritage.com",1990,"36 Park St Canton NC 28716","https://www.blueridgeheritage.com","History",35.53285726,-82.83863852
"74","Cape Fear MSM of History & Sci","814 Market St","Wilmington","NC",28401,4731,"Kate","Baillon","Director",9107984350,"Museums",712110,NA,NA,NA,NA,"Private","New Hanover",20,NA,NA,2023,"814 Market St Wilmington NC 28401","","History",34.23600809,-77.93911787
"75","Carl Sandburg Hm Natl Historic","81 Carl Sandburg Ln","Flat Rock","NC",28731,8635,"Tyrone","Brandyburg","Manager",8286934178,"Museums",712110,712190,712120,519210,NA,"Private","Henderson",1,NA,"nps.gov",1968,"81 Carl Sandburg Ln Flat Rock NC 28731","https://www.nps.gov","History",35.27284745,-82.45291101
"76","Carolina History & Haunts","214 N Tryon St","Charlotte","NC",28202,1078,NA,NA,NA,7046997959,"Museums",712110,NA,NA,NA,NA,"Private","Mecklenburg",3,NA,"carolinahistoryandhaunts.com",1866,"214 N Tryon St Charlotte NC 28202","https://www.carolinahistoryandhaunts.com","History",35.22808625,-80.84170121
"77","Carteret County Historical","1008 Arendell St","Morehead City","NC",28557,4143,NA,NA,NA,2520001111,"Museums",712110,813319,813410,NA,NA,"Private","Carteret",2,NA,NA,2021,"1008 Arendell St Morehead City NC 28557","","History",34.72170648,-76.71560773
"78","Catawba County Firefighters","3957 Herman Sipe Rd","Conover","NC",28613,NA,"Bill","Bump","Manager",8284660911,"Museums",712110,NA,NA,NA,NA,"Private","Catawba",2,NA,"catawbacountync.gov",1891,"3957 Herman Sipe Rd Conover NC 28613","https://www.catawbacountync.gov","History",35.74225815,-81.2379947
"79","Catawba County Msm of History","30 N College Ave","Newton","NC",28658,NA,"Melinda","Herzog","CEO",8284650383,"Museums",712110,712120,519210,813319,712110,"Private","Catawba",9,NA,NA,1936,"30 N College Ave Newton NC 28658","","History",35.66286841,-81.22159767
"80","Central European Historical","711 Hillsborough St","Raleigh","NC",27603,1605,"Charlotte A","Mitchell","Owner",9190001111,"Museums",712110,NA,NA,NA,NA,"Private","Wake",3,NA,NA,2017,"711 Hillsborough St Raleigh NC 27603","","History",35.7807717,-78.64938161
"81","Charlotte Museum of History","3500 Shamrock Dr","Charlotte","NC",28215,3214,"Kay","Peninger","CEO",7045681774,"Museums",712110,813319,813410,999990,NA,"Private","Mecklenburg",20,NA,NA,1976,"3500 Shamrock Dr Charlotte NC 28215","","History",35.23415671,-80.7683168
"82","Cherokee County Historical Msm","87 Peachtree St","Murphy","NC",28906,2940,"Terrisa","Carringer","Director",8288376792,"Museums",712110,813319,813410,NA,NA,"Private","Cherokee",1,NA,"cherokeecounty-nc.gov",1977,"87 Peachtree St Murphy NC 28906","https://www.cherokeecounty-nc.gov","History",35.08691853,-84.03339369
"83","Cherryville Historical Society","109 E Main St","Cherryville","NC",28021,3406,"Darrell","Carpenter","President",7044358011,"Museums",712110,712120,813319,813410,NA,"Private","Gaston",2,NA,"cherryvillemuseum.com",1992,"109 E Main St Cherryville NC 28021","https://www.cherryvillemuseum.com","History",35.37909967,-81.37924238
"84","City of Greensboro","2200 New Garden Rd","Greensboro","NC",27410,2354,"Adrian","Monroy","Director",3365455315,"Museums",712110,NA,NA,NA,NA,"Private","Guilford",2,NA,"foreclosures.guilfordcountync.gov",2011,"2200 New Garden Rd Greensboro NC 27410","https://www.foreclosures.guilfordcountync.gov","History",36.13056765,-79.85145739
"85","City of Raleigh Museum","220 Fayetteville St # 100","Raleigh","NC",27601,1358,"Ernest","Dollar","Owner",9199962220,"Museums",712110,711310,NA,NA,NA,"Private","Wake",10,NA,"cityofraleighmuseum.org",1993,"220 Fayetteville St # 100 Raleigh NC 27601","https://www.cityofraleighmuseum.org","History",35.7776469,-78.63930236
"86","Cowan Museum of History & Sci","411 S Main St","Kenansville","NC",28349,NA,"Robin","Grotke","Director",9102962149,"Museums",712110,921120,NA,NA,NA,"County","Duplin",2,NA,"cowanmuseum.org",1981,"411 S Main St Kenansville NC 28349","https://www.cowanmuseum.org","History",34.95975286,-77.96680072
"87","CSS Neuse State Historical","100 N Queen St","Kinston","NC",28501,4928,"Morris","Bass","Manager",2525269600,"Museums",712110,712120,921120,NA,NA,"State","Lenoir",7,NA,"historicsites.nc.gov",1962,"100 N Queen St Kinston NC 28501","https://www.historicsites.nc.gov","History",35.26031451,-77.58123188
"88","Davidson County Historical Msm","2 S Main St","Lexington","NC",27292,3320,"Sheila","Killebrew","Director",3362422035,"Museums",712110,NA,NA,NA,NA,"Private","Davidson",3,NA,"co.davidson.nc.us",1976,"2 S Main St Lexington NC 27292","https://www.co.davidson.nc.us","History",35.82403455,-80.25338879
"89","Duplin County Veterans Museum","119 E Hill St","Warsaw","NC",28398,1917,"Earl","Rouse","Manager",9102932190,"Museums",712110,NA,NA,NA,NA,"Private","Duplin",1,NA,"visitnc.com",1998,"119 E Hill St Warsaw NC 28398","https://www.visitnc.com","History",35.00141376,-78.09197228
